firm,week_end,price_date,p,s,q_strc,m,n
MSTR,2026-05-31,2026-05-29,73500.91507629369,159.08999633789062,0.9898999786376953,1.386678,0.001560897515
MSTR,2026-06-07,2026-06-05,60960.10140035313,120.44000244140625,0.9340000152587891,1.421162,0.001390213404
MSTR,2026-06-14,2026-06-12,63532.27782485316,123.97000122070312,0.9480000305175781,1.363208,0.001431396688
MSTR,2026-06-21,2026-06-18,62897.23855524796,112.52999877929688,0.8858999633789062,1.254608,0.001426030434
MSTR,2026-06-28,2026-06-26,60022.32566638378,82.30999755859375,0.7456999969482422,0.988864,0.001386766666
MSTR,2026-06-30,2026-06-30,58566.091991843154,86.93000030517578,0.8486000061035156,1.090231,0.001361459575
MSTR,2026-07-05,2026-07-02,61490.21448471664,100.7699966430664,0.8787000274658203,1.172234,0.001398012506
MSTR,2026-07-12,2026-07-10,64110.97482196822,94.63999938964844,0.8748000335693359,1.030070,0.001433097109
MSTR,2026-07-19,2026-07-17,63904.954014943025,94.8499984741211,0.8529000091552734,1.038257,0.001429545604
MSTR,2026-07-26,2026-07-24,64092.64739795451,91.66999816894531,0.8688500213623047,0.997365,0.001434052526
MSTR,2026-08-02,2026-07-31,62820.08613814001,93.27999877929688,0.8945999908447265,1.047276,0.001417845755
MSTR,2026-08-09,2026-08-07,64879.7560855934,100.01000213623047,0.9501000213623046,1.068448,0.001442715331
MSTR,2026-08-16,2026-08-14,62984.28959582886,93.04000091552734,0.9477999877929687,1.039023,0.001421714836
MSTR,2026-08-23,2026-08-21,78317.77716345884,119.25,0.9618000030517578,0.983792,0.001547728014
MSTR,2026-08-30,2026-08-28,77820.76428719184,127.30999755859375,0.9733000183105469,1.059210,0.001544488912
MSTR,2026-09-07,2026-09-04,79671.25767420157,142.8000030517578,0.9775,1.152474,0.00155523282
MSTR,2026-09-13,2026-09-11,77203.53444805603,130.97000122070312,0.9863999938964844,1.100642,0.001541304973
MSTR,2026-09-20,2026-09-18,80873.58287659245,153.9199981689453,0.9851000213623047,1.217051,0.001563794558
